Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Aptus.AI,https://www.crunchbase.com/organization/aptus-ai,Private,For Profit,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software",11-50,"Pisa, Toscana, Italy","27,687",,"24,601",,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,"P101, Fin+Tech",4340000.0,EUR,4682858.0,Seed,3000000.0,EUR,3283893.0,Seed,3000000.0,EUR,3283893.0,2023-11-24,Seed,4.0,"Andrea Tesei, Lorenzo De Mattei",2.0,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,,,,"Aptus.AI optimizes compliance to transform it into a competitive advantage, by making law digitally accessible. The Italian startup has developed a proprietary AI technology that creates a machine readable version of legal documents, by integrating cutting-edge AI techniques with an homogeneous legal standard. This innovative electronic and standard format offers both an interactive access to legal data and an AI-powered automated analysis on regulations, thus providing humans with accurate and augmented information in a reasonable time. Aptus.AI’s machine readable format is applied to Italian and European financial regulations within an innovative RegTech solution that provides streamlined impact analysis, regulatory trends recognition and more. In fact this SaaS is automatically updated in real-time on regulatory changes and notifies them to users, thus allowing compliance professionals to make faster and more confident decisions, and also to anticipate business opportunities through compliance. With its solution Aptus.AI is bridging the gap between humans and financial regulations, but soon its technology will revolutionize the way people and machines interact with any law.",,info@aptus.ai,https://www.linkedin.com/company/aptus-ai,https://www.aptus.ai,,,,,2018-01-01,year,Active,Aptus.AI makes law digitally accessible exploiting its proprietary AI-powered electronic machine-readable format of legal documents,$1M to $10M,56126,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Muffin,https://www.crunchbase.com/organization/muffin-7b91,Private,For Profit,"Financial Services, Information Technology, Software",11-50,"Turin, Piemonte, Italy","27,827",,"24,727",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,"Simone Severini, Alessandro Messina, Guido Frisiani, Giancarlo Pozzoli, Francesco Guarneri",3200000.0,EUR,3426997.0,Pre-Seed,3200000.0,EUR,3426997.0,Pre-Seed,3200000.0,EUR,3426997.0,2024-06-25,Seed,1.0,"Fabio Sferruzzi, Lorenzo Maternini, Michele Bonelli",3.0,"Financial Services, Information Technology, Software",,,,,,,,,https://www.linkedin.com/company/get-muffin/,https://getmuffin.io/,,,,,2022-02-14,day,Active,Muffin is a digital assistant platform that simplifies managing all the steps involved in requesting and disclosing tax incentives.,,10121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Trustfull,https://www.crunchbase.com/organization/fido,Private,For Profit,"Cyber Security, Identity Management, Lead Management, PaaS, Payments, Risk Management, Security",11-50,"Milano, Lombardia, Italy","28,036",,"24,945",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,"United Ventures, Italian Angels for Growth, CRiF, Ithaca Investments",6600000.0,EUR,6948646.0,Seed,5000000.0,EUR,5040323.0,Seed,5000000.0,EUR,5040323.0,2022-07-15,Seed,3.0,Marko Maras,1.0,"Financial Services, Information Technology, Payments, Privacy and Security, Professional Services, Sales and Marketing, Software",,,,,,,,info@trustfull.com,http://www.linkedin.com/company/trustfull/,http://www.trustfull.com,,,,,2020-07-01,month,Active,The Digital Risk Intelligence Platform,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Buddyfit,https://www.crunchbase.com/organization/buddyfit,Private,For Profit,"Fitness, Training, Wellness",11-50,"Genova, Liguria, Italy","28,837",,"25,691",,,10.0,,,,,,,,,,,,,,Acquisition,,,,2024-09-03,day,7Mind,https://www.crunchbase.com/organization/7mind,Buddyfit acquired by 7Mind,https://www.crunchbase.com/acquisition/7mind-acquires-buddyfit--aec6431e,Was Acquired,,3.0,1.0,"Azimut Digitech Fund, RCS MediaGroup, Cairo Communication",13500000.0,EUR,15256041.0,Series A,6700000.0,EUR,7162083.0,Series A,6700000.0,EUR,7162083.0,2022-06-06,M&A,4.0,"Giovanni Ciferri, Stefano Cortese, Stefano Manzoni",3.0,"Education, Health Care, Sports",,,,,,"Buddyfit is a fitness app that offers live monthly fitness classes to help people feel strong and healthy. Buddyfit's programs include fat burning, tonification, and yoga. With Buddyfit, users can train wherever and whenever they want to, through live classes or through the replay section.",,info@buddyfit.club,https://www.linkedin.com/company/buddyfit-club,https://buddyfit.club,,,2024-09-03,day,2019-04-16,day,Active,Buddyfit is a fitness app that offers live monthly fitness classes to help people feel strong and healthy.,$10M to $50M,16129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ITA Airways,https://www.crunchbase.com/organization/alitalia,Private,For Profit,"Aerospace, Air Transportation, Travel",10001+,"Rome, Lazio, Italy","29,019",,"25,824",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,"Castlelake, Lufthansa, Etihad Airways, AIP Capital, SACE",1184953321.0,USD,1184953321.0,Corporate Round,325000000.0,EUR,348581541.0,Debt Financing,240000000.0,USD,240000000.0,2024-08-20,,4.0,,,"Science and Engineering, Transportation, Travel and Tourism",,,,,,"ITA Airways is the flag carrier and national airline of Italy. It is much leaner than the group that was rescued and privatized in 2008. It has a younger fleet, its cost base is better than that of Air France, and long gone are the perks its staff enjoyed, such as being picked up by taxi from home.  The company operates 52 aircraft (7 wide body and 45 narrow body), but our goal is to reach, in 2025, a fleet of 105 new generation Airbus aircraft, more efficient and greener, with an overall reduction of 750,000 tons of CO2.",39 06 65631,,https://www.linkedin.com/company/ita-airways,http://alitalia.com,,,,,2020-11-11,day,Active,ITA Airways is the flag carrier and national airline of Italy.,Less than $1M,RM 00148,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Kampaay,https://www.crunchbase.com/organization/kampaay-srl,Private,For Profit,"Catering, Enterprise Software, Event Management, Events, Marketplace, SaaS",51-100,"Milano, Lombardia, Italy","30,127",,"26,879",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,"360 Capital, Azimut Digitech Fund, SG Company",10940000.0,USD,10940000.0,Series A,7900000.0,USD,7900000.0,Series A,7900000.0,USD,7900000.0,2023-05-18,Early Stage Venture,4.0,"Daniele Arduini, Enrico Berto, Marco Alba, Stefano Brigli Bongi",4.0,"Commerce and Shopping, Events, Food and Beverage, Media and Entertainment, Software",,,,,,Kampaay is a B2B Future of Work solution aimed at disrupting the EU SMB and Enterprise event industry with a SaaS-Enabled Marketplace approach,,daniele.arduini@kampaay.com,https://www.linkedin.com/company/27200057/,https://www.kampaay.com/,,,,,2019-01-01,year,Active,Kampaay is the solution for Event Management: it simplifies and digitises the management and organisation of your corporate events,$1M to $10M,20143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
InSilicoTrials,https://www.crunchbase.com/organization/insilicotrials-technologies,Private,For Profit,"Biotechnology, Health Care, Simulation",11-50,"Trieste, Friuli-Venezia Giulia, Italy","30,994",,"27,701",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,"United Ventures, StartUp Health, Pi Campus",6504680.0,USD,6504680.0,Seed,3500000.0,USD,3500000.0,Grant,2000000.0,EUR,2344680.0,2020-09-30,Seed,3.0,"Luca Emili, Roberta Bursi",2.0,"Biotechnology, Health Care, Science and Engineering, Software",,,,,,"InSilicoTrials is an emerging startup founded in 2018 by a team of life science, cybersecurity and digital innovation experts, which aims to revolutionize Healthcare through an innovative digital simulation platform, where complex computational simulations run in an easy and cost-effective way to hyper- accelerate drug & medical device development.   We offer Pharma and MedTech companies state-of-the-art simulation tools that can highly reduce the cost and time of  drugs & medical products’ development. The in silico technology can increase the quality of life of millions of patients by allowing cheaper treatments, bringing innovative drugs to the market in a shorter time, together with personalized cures and new solutions for rare diseases.",,info@insilicotrials.com,https://www.linkedin.com/company/insilicotrials/,http://www.insilicotrials.com,,,,,2018-05-04,day,Active,Modeling and Simulation to accelerate development and improve safety of drugs and medical devices and significantly cut R&D costs and time,$1M to $10M,32123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Onda AI,https://www.crunchbase.com/organization/onda-ai,Private,For Profit,"Consulting, Cyber Security, Financial Services",11-50,"Lu, Piemonte, Italy","31,306",,"27,967",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"K5 Global, northstar.vc",10000000.0,USD,10000000.0,Seed,,,,Seed,,,,2023-01-01,Seed,2.0,,,"Financial Services, Information Technology, Privacy and Security, Professional Services",,,,,,,,complaints@onda.ai,https://www.linkedin.com/company/onda-ai/,https://www.onda.ai/,,,,,2022-01-01,year,Active,Onda AI provides client assessment and underwriting process and rapid access to cyberinsurance.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
EPICODE,https://www.crunchbase.com/organization/epicode-school,Private,For Profit,"Corporate Training, EdTech, Personal Development, Recruiting, Training",11-50,"Rome, Lazio, Italy","31,592",,"28,266",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,1.0,14.0,2.0,"Y Combinator, Matteo de Brabant, Paolo Barberis, Fabio Cannavale, Niccolò Colussi",11000000.0,EUR,12263712.0,Series A,10000000.0,EUR,11073572.0,Series A,10000000.0,EUR,11073572.0,2022-03-09,Early Stage Venture,3.0,"Claudio Vaccaro, Diego Banovaz, Ivan Ranza, Marco Rosci, Tobia De Angelis",5.0,"Education, Professional Services, Software",,,,,,"Train thousands of talents every year. Transforming talents into tech careers. Convert careers into successful lives. To do all this, you have to be more than just a school, better than a university, and more than a traditional recruiting company. Through online courses and an all-in-one experience, EPICODE offers tracks from zero to a tech career in the fields of web development, data analytics, cybersecurity and marketing technology.",,info@epicode.com,https://it.linkedin.com/school/epicodeitalia/,https://epicode.com,,,,,2020-01-01,year,Active,Epicode is the online career accelerator that offers training and coaching for ICT professionals and talent recruitment for ICT companies,$1M to $10M,154,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Algor Education,https://www.crunchbase.com/organization/algor-lab,Private,For Profit,"Artificial Intelligence (AI), Computer, Primary Education, Software",11-50,"Torino, Piemonte, Italy","32,101",,"28,699",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,"Emerge, Club degli Investitori, 40Jemz Ventures",1580000.0,EUR,1732989.0,Seed,1400000.0,EUR,1529266.0,Seed,1400000.0,EUR,1529266.0,2023-12-18,Seed,2.0,"Antonino Geraci, Emanuele Gusso, Fabio Frattin, Giovanni Cioffi, Matteo Tarantino, Mauro Musarra",6.0,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Education, Hardware, Science and Engineering, Software",,,,,,"Algor Education is an app for creating online concept maps and mind maps from their own documents in a simple and intuitive way. They automatically synthesize the texts and create concept maps. Algor offers the ability to edit mind maps in the media editor while working with coworkers or teachers. With just a few clicks, you can quickly create maps, upload any document, and listen to it being read aloud by the speech synthesizer.",,info@algoreducation.com,https://www.linkedin.com/company/algorlab/,https://www.algoreducation.com/,,,,,2021-07-19,day,Active,Algor Education is a web app that provides tools and materials needed for teaching through artificial intelligence.,,10141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Foreverland,https://www.crunchbase.com/organization/foreverland-fc6a,Private,For Profit,Food and Beverage,1-10,"Milan, Lombardia, Italy","32,197",,"28,819",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,"CDP Venture Capital, 2100 Ventures, Exor Ventures, Kost Capital, Eatable Adventures",3570000.0,EUR,3946839.0,Seed,3400000.0,EUR,3761915.0,Seed,3400000.0,EUR,3761915.0,2024-10-01,Seed,2.0,,,Food and Beverage,,,,,,Foreverland Food is an Italian food-tech startup.,,,https://www.linkedin.com/company/foreverland-food,https://foreverland.it,,,,,2023-01-01,year,Active,Foreverland Food is an Italian food-tech startup.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Carol,https://www.crunchbase.com/organization/carol-3cce,Private,For Profit,"Employee Benefits, Health Care, Medical, Wellness",11-50,"Milan, Lombardia, Italy","33,922",,"30,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,"P101, Lumen Ventures, Exceptional Ventures, Alecla7, CRB Inverbío",4900000.0,EUR,5307390.0,Seed,4900000.0,EUR,5307390.0,Seed,4900000.0,EUR,5307390.0,2024-05-30,Seed,1.0,Lorenzo Granato,1.0,"Administrative Services, Health Care",,,,,,"Carol is a tech-enabled healthcare provider delivering membership-based primary care services, on a mission to make high-quality healthcare accessible and affordable for everyone. To achieve this goal, Carol leverages a highly scalable technology, combined with high quality clinical operations and a salaried provider model.",,info@carol.health,https://www.linkedin.com/company/carol.health,https://www.carol.health,,,,,2022-01-01,year,Active,Carol is a tech-enabled healthcare provider delivering membership-based primary care services,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
IH1,https://www.crunchbase.com/organization/ih1,Private,For Profit,Venture Capital,1-10,"Torino, Piemonte, Italy","34,807",,"31,224",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,Asiri,8125000.0,EUR,9647730.0,Undisclosed,8125000.0,EUR,9647730.0,Undisclosed,8125000.0,EUR,9647730.0,2021-08-02,,1.0,"Alessandro Mina, Alexandre Campra, Farhad Alessandro Mohammadi",3.0,"Financial Services, Lending and Investments",,,,"Early Stage Venture, Seed",Corporate Venture Capital,,,,https://www.linkedin.com/company/ih1/,https://ih1.co/,,,,,2021-07-13,day,Active,IH1 is company that invest in the startups created by Mamazen Startup Studio,,10135,"European Union (EU), Europe, Middle East, and Africa (EMEA)",8.0
ALBA Robot,https://www.crunchbase.com/organization/alba-robot,Private,For Profit,"Artificial Intelligence (AI), Autonomous Vehicles, Internet, Internet of Things, Medical Device",11-50,"Torino, Piemonte, Italy","35,117",,"31,530",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,"Techstars, CDP Venture Capital, Intesa Sanpaolo, STMicroelectronics, Amazon Alexa Fund",10444319.0,USD,10444319.0,Undisclosed,1200000.0,EUR,1306980.0,Grant,1200000.0,EUR,1298118.0,2024-10-28,,13.0,"Andrea Bertaia, Giacomo Moiso",2.0,"Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software, Transportation",,,,,,A B2B self-driving micromobility platform for the transportation of people and goods in indoor and pedestrian areas.,,info@alba-robot.com,https://www.linkedin.com/company/alba-robot/,https://www.alba-robot.com/,,,,,2019-11-01,month,Active,"ALBA Robot, and end to end mobility solution for silver economy",$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BOOM,https://www.crunchbase.com/organization/boom-image-studio,Private,For Profit,"Computer Vision, Photography, Real Estate",51-100,"Milano, Lombardia, Italy","35,416",,"31,807",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,2.0,2.0,1.0,"United Ventures, Wellness Holding",18500000.0,USD,18500000.0,Venture - Series Unknown,7500000.0,USD,7500000.0,Venture - Series Unknown,7500000.0,USD,7500000.0,2021-12-10,,4.0,"Federico Mattia Dolci, Giacomo Grattirola, Jacopo Benedetti",3.0,"Content and Publishing, Hardware, Media and Entertainment, Real Estate, Software",,,,,,"BOOM is a photo-tech startup that provides on-demand photographic solutions at scale for clients in over 80 countries.    BOOM's technology is based on the proprietary ""Order System"" platform, which standardizes the end-to-end photographic production cycle for global companies, allowing customers to order all the photographic services they need in a few seconds and receive the finished result in just 24 hours.   BOOM also boasts an international network of photographers, and works with hundreds of top-tier global clients from real estate, food delivery, travel and e-commerce sectors.   Our mission is to transform the world of commercial photography, developing the world’s most efficient photo-logistics and fulfillment system to deliver online businesses their visual assets on-demand, in global markets.",,,https://www.linkedin.com/company/boom-imagestudio,https://www.boom.co,,,,,2018-01-01,month,Active,BOOM is a photo-tech startup that provides on-demand photographic solutions at scale for clients in over 80 countries.,$1M to $10M,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Akiflow,https://www.crunchbase.com/organization/akiflow,Private,For Profit,"Digital Marketing, Internet, Software",11-50,"Padova, Veneto, Italy","35,691",,"32,036",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,"Y Combinator, Matilde Giglio",1905000.0,USD,1905000.0,Seed,1780000.0,USD,1780000.0,Seed,1780000.0,USD,1780000.0,2022-02-03,Seed,2.0,"Nunzio Martinello, Sebastiano Favaro",2.0,"Internet Services, Sales and Marketing, Software",,,,,,Akiflow is a productivity tool that consolidates all your to-dos from multiple platforms into a single tasks+calendars interface,,info@akiflow.com,https://www.linkedin.com/company/akiflow,https://akiflow.com/,,,,,2019-01-01,year,Active,Akiflow is a productivity software,Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Subbyx,https://www.crunchbase.com/organization/subbyx,Private,,"Consumer Goods, Service Industry, Subscription Service",11-50,"Milan, Lombardia, Italy","36,479",,"32,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,"Azimut Digitech Fund, ALIcrowd",15000000.0,EUR,15596244.0,Seed,15000000.0,EUR,15596244.0,Seed,15000000.0,EUR,15596244.0,2025-01-30,Seed,1.0,,,"Consumer Goods, Other",,,,,,Subbyx provides long-term subscriptions for technology products and small home appliances.,,,https://www.linkedin.com/company/subbyx,https://www.subbyx.com/en,,,,,2023-01-01,year,Active,Subbyx provides long-term subscriptions for technology products and small home appliances.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Powy,https://www.crunchbase.com/organization/powy,Private,For Profit,"Automotive, Charging Infrastructure",11-50,"Turin, Piemonte, Italy","36,820",,"33,117",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84000000.0,EUR,90810811.0,Series A,84000000.0,EUR,90810811.0,Series A,84000000.0,EUR,90810811.0,2023-05-22,Early Stage Venture,1.0,"Andrea Brentan, Federico Fea",2.0,Transportation,,,,,,"Powy, formerly known as TheF Charging, is a leading independent developer, owner and operator of EV charging stations, headquartered in Turin, Italy, that commenced full commercial operations in 2021. Powy’s business model is to secure long-term rights for the supply of EV services in public locations. Powy’s net-work spans the full spectrum of charging solutions (from quick to fast to high power charging) located across a variety of highly strategic “destination charging” and “charge-on-the-go” locations.",,info@powy.energy,https://it.linkedin.com/company/powy-energy,https://powy.energy,,,,,2018-04-01,day,Active,Powy is an EV charge point owner and operator with hundreds of stations across Italy and Spain.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Dreamfarm,https://www.crunchbase.com/organization/dreamfarm-35df,Private,,"Food and Beverage, Plant-Based Foods",1-10,"Sala Baganza, Emilia-Romagna, Italy","37,384",,"33,631",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"Giampaolo Cagnin, Francesco MuttiMutti",5000000.0,EUR,5359919.0,Pre-Seed,5000000.0,EUR,5359919.0,Pre-Seed,5000000.0,EUR,5359919.0,2023-11-06,Seed,1.0,,,Food and Beverage,,,,,,Dreamfarm provides plant based products. Dreamfarm inspire positive change through our passion for delicious Italian plant-based food.,,,https://www.linkedin.com/company/dreamfarm-foods/about/,https://dream-farm.it/,,,,,2021-01-01,year,Active,Dreamfarm provides plant based products.,,43038,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Limolane,https://www.crunchbase.com/organization/limolane,Private,For Profit,"Internet, Service Industry",11-50,"Cornaredo, Lombardia, Italy","37,529",,"33,768",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,"Cherry Bay Capital, Fabio Nalucci, Riccardo Martinelli",39000000.0,EUR,42126247.0,Venture - Series Unknown,35000000.0,EUR,37851628.0,Venture - Series Unknown,35000000.0,EUR,37851628.0,2024-07-09,,2.0,Emilio Brancia,1.0,"Internet Services, Other",,,,,,"Limolane is a chauffeur service designed to meet the mobility needs of users. They offer a variety of vehicles, transparent pricing, and an easy booking process. They streamline user travel interactions and provide users with private car rentals with drivers.",+39 02 00614834,info@limolane.com,https://www.linkedin.com/company/limolane/?lipi=urn%3Ali%3Apage%3Acompanies_company_about_index%3Bc6f8cb97-876b-4234-aaaa-64c207d55406,https://www.limolane.com/,,,,,2020-01-01,year,Active,Limolane is a digital platform that satisfies the demand for non-scheduled urban mobility.,$1M to $10M,20007,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
40Factory,https://www.crunchbase.com/organization/40factory,Private,For Profit,"Analytics, Industrial, Machinery Manufacturing",1-10,"Piacenza, Emilia-Romagna, Italy","40,300",,"36,369",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Gefran,4000000.0,EUR,4144601.0,Series A,4000000.0,EUR,4144601.0,Series A,4000000.0,EUR,4144601.0,2025-01-31,Early Stage Venture,1.0,,,"Data and Analytics, Manufacturing",,,,,,"40Factory provides designing and developing AioT solutions. Their services include industry 4.0, IoT, industrial IoT, automation systems, service integration, cloud computing, big data, machine learning, microsoft azure, siemens simatic, edge computing, data analytics, artificial intelligence, digital transformation, smart production, KPI analytics, breakdown analytics, mindsphere, and consulting.",+39 0523 17 27 969,info@40-factory.com,https://www.linkedin.com/company/40factory,https://40-factory.com,,,,,2018-01-01,year,Active,40Factory provides industrial digitalization services.,,29122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
