,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
4967.,MPT IMMOBILIARE S.R.L.,IT10320820961,10320820961,MI2522382,10320820961,"PZA DELLA REPUBBLICA, 11/A",Milano,20124,Lombardia,PIAZZA DELLA REPUBBLICA 11/A,Milano,20124,LOMBARDIA,681000,17/04/2018,,Attiva,S.R.L.
4968.,PARCO CREATIVITA' S.P.A.,IT03932120367,03932120367,MO0429394,03932120367,"VIA CARLO PISACANE, 2",Modena,41012,Emilia-Romagna,VIA CARLO PISACANE 2,Modena,41012,EMILIA-ROMAGNA,411000,17/09/2020,,Attiva,S.P.A.
4969.,MANUSTRA S.C. A R.L.,IT03711980544,03711980544,PG0308616,03711980544,"STR SAN MARCO CENERENTE, 10",Perugia,06131,Umbria,,,,,421100,21/11/2019,,Attiva,Società consortile a responsabilita' limitata
4970.,NEW VENTURES S.R.L.,IT03808550366,03808550366,MO0419518,03808550366,"VIA GIARDINI NORD, 140",Modena,41026,Emilia-Romagna,VIA GIARDINI NORD 140,Modena,41026,EMILIA-ROMAGNA,682001,11/05/2018,,Attiva,S.R.L.
4971.,MARYAMADO S.R.L. - SOCIETA' AGRICOLA,IT06852030482,06852030482,FI0661085,06852030482,"VIA LUCIGNANO, 14",Firenze,50026,Toscana,VIA LUCIGNANO 14,Firenze,50026,TOSCANA,012100,26/07/2018,,Attiva,S.R.L.
4972.,MH SRL,IT02609900390,02609900390,RA0217053,02689680391,"VIA MOZAMBICO, 5",Ravenna,48026,Emilia-Romagna,VIA MOZAMBICO 5,Ravenna,48026,EMILIA-ROMAGNA,642000,18/05/2018,,Attiva,S.R.L.
4973.,E11E S.R.L.,IT11274050969,11274050969,MI2591198,11274050969,"VIA CARLO OTTAVIO CORNAGGIA, 10",Milano,20123,Lombardia,VIA CARLO OTTAVIO CORNAGGIA 10,Milano,20123,LOMBARDIA,351100,26/05/2020,,Attiva,S.R.L.
4974.,CLEOPATRA MC S.R.L.,IT10357260966,10357260966,MI2525178,10357260966,"CSO ITALIA, 22",Milano,20122,Lombardia,CORSO ITALIA 22,Milano,20122,LOMBARDIA,642000,15/05/2018,,Attiva,S.R.L.
4975.,GRUPPO GHINZANI SRL,IT04617850161,04617850161,BG0476419,04617850161,"VIA PER ZANICA, 58",Bergamo,24126,Lombardia,VIA PER ZANICA 58/H,Bergamo,24126,LOMBARDIA,642000,07/07/2022,,Attiva,S.R.L.
4976.,CHIATAMONE 65 S.R.L.,IT09226801216,09226801216,NA1017319,09226801216,"VIA ORAZIO, 147/O",Napoli,80122,Campania,,,,,551000,03/05/2019,,Attiva,S.R.L.
4977.,FEB 2 S.R.L.,IT11945880018,11945880018,TO1252980,11945880018,"VIA SAN FRANCESCO D'ASSISI, 18",Torino,10122,Piemonte,VIA FERDINANDO SANTI 3/4,Torino,10042,PIEMONTE,642000,05/07/2018,,Attiva,S.R.L.
4978.,MFH S.R.L.,IT03198110219,03198110219,BZ0240260,03198110219,"VIA DEI CAMPI DELLA RIENZA, 21",Bolzano/Bozen,39031,Trentino-Alto Adige/Südtirol,,,,,702209,16/02/2023,,Attiva,S.R.L.
4979.,VERS ITALIA S.R.L.,IT02619260462,02619260462,LU0239825,02619260462,CTE ANNA MAGNANI,Lucca,55041,Toscana,CORTE ANNA MAGNANI 1 INT 7,Lucca,55041,TOSCANA,642000,17/12/2021,,Attiva,S.R.L.
4980.,URBAN REGENERATION ROMA SRL,IT12116390969,12116390969,MI2641657,12116390969,"VIA AGNELLO, 8",Milano,20121,Lombardia,VIA AGNELLO 8,Milano,20121,LOMBARDIA,701000,26/11/2021,,Attiva,S.R.L.
4981.,STEELGROUP ITALY HOLDING S.R.L.,IT03874330131,03874330131,LC0403398,03874330131,"VIA CARLO CATTANEO, 1/B",Lecco,23900,Lombardia,VIA GIUSEPPE PARINI 3,Lecco,23861,LOMBARDIA,642000,23/12/2019,,Attiva,S.R.L.
4982.,AUCTUS INVEST ITALY S.R.L.,IT04193820984,04193820984,BS0595777,04193820984,"VIA LEONARDO DA VINCI, 20",Brescia,25122,Lombardia,VIA LEONARDO DA VINCI 20,Brescia,25122,LOMBARDIA,701000,10/06/2020,,Attiva,S.R.L.
4983.,GAMMA S.R.L.,IT05219550752,05219550752,LE0350846,05219550752,"VIA ROMA, 153",Lecce,73054,Puglia,,,,,682001,08/04/2022,,Attiva,S.R.L.
4984.,D-MARIN ITALY S.R.L.,IT12452600963,12452600963,MI2662436,12452600963,"VIA DEL VECCHIO POLITECNICO, 9",Milano,20121,Lombardia,VIA DEL VECCHIO POLITECNICO 9,Milano,20121,LOMBARDIA,701000,09/06/2022,,Attiva,S.R.L.
4985.,BIOAGRI S.R.L. SOCIETA' AGRICOLA,IT08113530722,08113530722,BA0605484,08113530722,"VIA SICILIANI, 53",Bari,70016,Puglia,,,,,012100,10/01/2018,,Attiva,S.R.L.
4986.,GRUPPO CARNIELLO SRL,IT05194590260,05194590260,TV0430087,05194590260,"VIA VALLA', 28",Treviso,31030,Veneto,VIA VALLA' 28,Treviso,31030,VENETO,701000,27/04/2021,,Attiva,S.R.L.
4987.,GIORGI ABS IMMOBILIARE S.R.L.,IT02651690469,02651690469,LU0252338,02651690469,"VIA SPADONI, 11",Lucca,55012,Toscana,,,,,682001,15/12/2022,,Attiva,S.R.L.
4988.,ECP SERVICE S.R.L.,IT10811120962,10811120962,MI2558959,10811120962,"VIA DELLA MOSCOVA, 3",Milano,20121,Lombardia,VIA DELLA MOSCOVA 3,Milano,20121,LOMBARDIA,649960,06/05/2019,,Attiva,S.R.L.
4989.,DG HOLDING S.R.L.,IT12282660963,12282660963,MI2651703,12282660963,"CSO MAGENTA, 81",Milano,20123,Lombardia,CORSO MAGENTA 81,Milano,20123,LOMBARDIA,642000,25/02/2022,,Attiva,S.R.L.
4990.,DANCO SRLS,IT16360931006,16360931006,RM1651531,16360931006,"VLE GIUSEPPE MAZZINI, 140",Roma,00195,Lazio,,,,,803000,08/10/2021,,Attiva,S.R.L. semplificata
4991.,FARMFRONT S.P.A.,IT12387600963,12387600963,MI2658059,12387600963,"VIA ALESSANDRO MANZONI, 38",Milano,20121,Lombardia,VIA ALESSANDRO MANZONI 38,Milano,20121,LOMBARDIA,649209,27/04/2022,,Attiva,S.P.A.
4992.,ING. FERRARI HOLDING S.R.L.,IT04036920363,04036920363,MO0437799,04036920363,"VIA MONSIGNORE GIUSEPPE PISTONI, 40",Modena,41123,Emilia-Romagna,VIA MONSIGNORE GIUSEPPE PISTONI 40,Modena,41123,EMILIA-ROMAGNA,701000,23/06/2022,,Attiva,S.R.L.
4993.,FA R EVOLUTION S.P.A.,IT12145320961,12145320961,MI2643886,12145320961,"VIA SENATO, 6",Milano,20121,Lombardia,VIA SENATO 6,Milano,20121,LOMBARDIA,701000,21/12/2021,,Attiva,S.P.A.
4994.,FRAMIS ITALIA HOLDING S.R.L.,IT11506080966,11506080966,MI2608370,11506080966,"VIA EUROPA, 20",Milano,20083,Lombardia,VIA EUROPA 20,Milano,20083,LOMBARDIA,701000,15/12/2020,,Attiva,S.R.L.
4995.,GARDALAKE REAL ESTATE S.R.L.,IT04746870239,04746870239,VR0445368,04746870239,"VIA PAERNO, 25",Verona,37011,Veneto,VIA PAERNO 25,Verona,37011,VENETO,681000,30/10/2020,,Attiva,S.R.L.
4996.,CONFAGRI WINE PROMOTION - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT15343371009,15343371009,RM1584058,15343371009,"CSO VITTORIO EMANUELE II, 101",Roma,00186,Lazio,CORSO VITTORIO EMANUELE II 101,Roma,00186,LAZIO,731102,26/06/2019,,Attiva,Società consortile a responsabilita' limitata
4997.,AMADEUS S.R.L.,IT10905630967,10905630967,MI2565198,10905630967,"VIA MARCO FABIO QUINTILIANO, 17",Milano,20138,Lombardia,VIA MARCO FABIO QUINTILIANO 17,Milano,20138,LOMBARDIA,642000,08/07/2019,,Attiva,S.R.L.
4998.,CUKI INVEST S.R.L.,IT11029910962,11029910962,MI2574201,11029910962,"PZA DELLA REPUBBLICA, 30",Milano,20124,Lombardia,PIAZZA DELLA REPUBBLICA 30,Milano,20124,LOMBARDIA,642000,30/10/2019,,Attiva,S.R.L.
4999.,TEN S.R.L.,IT04255630982,04255630982,BS0600492,04255630982,"VIA SAN ROCCO, 12",Brescia,25026,Lombardia,VIA SAN ROCCO 12,Brescia,25026,LOMBARDIA,701000,10/02/2021,,Attiva,S.R.L.
5000.,ECONERGY PROJECT 1 S.R.L.,IT10932740961,10932740961,MI2567281,10932740961,"VIA ALESSANDRO MANZONI, 30",Milano,20121,Lombardia,VIA ALESSANDRO MANZONI 30,Milano,20121,LOMBARDIA,749000,29/07/2019,,Attiva,S.R.L.
5001.,AFD S.R.L.,IT11652890960,11652890960,MI2616958,11652890960,"VIA SANT'ANDREA, 21",Milano,20121,Lombardia,,,,,642000,08/03/2021,,Attiva,S.R.L.
5002.,WALLY JOB S.R.L.,IT16714991003,16714991003,RM1671622,16714991003,"VIA CIRO MENOTTI, 26",Roma,00195,Lazio,,,,,782000,12/05/2022,,Attiva,S.R.L.
5003.,BASE DIGITALE GROUP S.R.L.,IT07121510486,07121510486,FI0681228,07121510486,"VIA LEONARDO DA VINCI, 20",Firenze,50132,Toscana,VIA LEONARDO DA VINCI 20,Firenze,50132,TOSCANA,702209,03/09/2021,,Attiva,S.R.L.
5004.,FREE TO X S.P.A.,IT17410511004,17410511004,RM1717270,17410511004,"VIA OSTIENSE, 72",Roma,00154,Lazio,,,,,522190,21/12/2023,,Attiva,S.P.A.
5005.,TINEXTA CYBER S.P.A.,IT15971011000,15971011000,RM1626691,15971011000,"PLE FLAMINIO, 1/B",Roma,00100,Lazio,PIAZZA SALLUSTIO 9,Roma,00187,LAZIO,620100,07/01/2021,,Attiva,S.P.A.
5006.,TOTALENERGIES RENEWABLES SOLAR ITALIA S.R.L.,IT15766151003,15766151003,RM1612518,15766151003,"VIA VITTORIO VENETO, 183",Roma,00187,Lazio,VIA VITTORIO VENETO 183,Roma,00187,LAZIO,642000,24/06/2020,,Attiva,S.R.L.
5007.,ITA36 PARTECIPAZIONI S.R.L.,IT11056860965,11056860965,MI2576139,11056860965,"VIA SAN PAOLO, 13",Milano,20121,Lombardia,VIA SAN PAOLO 13,Milano,20121,LOMBARDIA,701000,21/11/2019,,Attiva,S.R.L.
5008.,HOLDING MORELLI S.R.L.,IT11304100966,11304100966,MI2593339,11304100966,"GAL SAN BABILA, 4/B",Milano,20122,Lombardia,GALLERIA SAN BABILA 4/B,Milano,20122,LOMBARDIA,701000,18/06/2020,,Attiva,S.R.L.
5009.,MAGE S.R.L.,IT04580260406,04580260406,RN0423516,04580260406,"VIA CORIANO, 58",Rimini,47924,Emilia-Romagna,,,,,642000,22/07/2021,,Attiva,S.R.L.
5010.,GRUPPO VERDORE S.R.L.,IT12321710969,12321710969,MI2653833,12321710969,"VIA GABRIO SERBELLONI, 13",Milano,20122,Lombardia,VIA GABRIO SERBELLONI 13,Milano,20122,LOMBARDIA,701000,17/03/2022,,Attiva,S.R.L.
5011.,MEGAINVEST SRL,IT12153680017,12153680017,TO1268682,12153680017,VIA ANTONIO GIUSEPPE IGNAZIO BERTOL,Torino,10122,Piemonte,VIA ANTONIO GIUSEPPE IGNAZIO BERTOLA 40,Torino,10122,PIEMONTE,642000,19/07/2019,,Attiva,S.R.L.
5012.,FINIST S.R.L.,IT10262740961,10262740961,BI0314762,10262740961,"VIA BARTOLOMEO SELLA, 178/BIS",Biella,13867,Piemonte,,,,,682001,05/03/2018,,Attiva,S.R.L.
5013.,GIUBILEO 2025 S.P.A.,IT16791301001,16791301001,RM1676592,16791301001,"PZA DELLA CROCE ROSSA, 1",Roma,00161,Lazio,VIA XX SETTEMBRE 97,Roma,00187,LAZIO,829999,15/07/2022,,Attiva,S.P.A.
5014.,SFER H2O S.R.L.,IT01708110083,01708110083,IM0218823,01708110083,"CSO FELICE CAVALLOTTI, 78",Imperia,18038,Liguria,,,,,701000,13/11/2019,,Attiva,S.R.L.
5015.,OPERA 20 S.P.A.,IT02704710991,02704710991,GE0505429,02704710991,"VIA FIESCHI, 6/5",Genova,16121,Liguria,VIA FIESCHI 6/5,Genova,16121,LIGURIA,642000,02/11/2020,,Attiva,S.P.A.
5016.,SMART4ITALY S.R.L.,IT16142021001,16142021001,RM1637246,16142021001,"VIA BARBERINI, 29",Roma,00187,Lazio,VIA DEI REDENTORISTI 9,Roma,00186,LAZIO,620200,14/04/2021,,Attiva,S.R.L.
5017.,SANITA' ISOLA TIBERINA SOCIETA' A RESPONSABILITA' LIMITATA IMPRESA SOCIALE,IT16421381001,16421381001,RM1656411,16421381001,"VIA DELLA CONCILIAZIONE, 5",Roma,00193,Lazio,VIA DELLA CONCILIAZIONE 5,Roma,00193,LAZIO,861010,05/11/2021,,Attiva,S.R.L.
5018.,BLA S.R.L.,IT10864070965,10864070965,MI2562821,10864070965,"PLE MARTESANA, 10",Milano,20128,Lombardia,PIAZZALE MARTESANA 10,Milano,20128,LOMBARDIA,701000,13/06/2019,,Attiva,S.R.L.
5019.,TOSCANA VENTURE S.R.L.,IT07113110485,07113110485,FI0680574,07113110485,"VLE GIUSEPPE MAZZINI, 40",Firenze,50132,Toscana,,,,,205990,09/07/2021,,Attiva,S.R.L.
5020.,PAOLETTI AGRO SRL,IT16355281003,16355281003,RM1651210,16355281003,"VIA DELLA CORONA BOREALE, 115",Roma,00054,Lazio,VIA DELLA CORONA BOREALE 115,Roma,00054,LAZIO,642000,07/10/2021,,Attiva,S.R.L.
5021.,VDC MXP11 S.R.L.,IT11403380964,11403380964,MI2599850,11403380964,"VLO SAN GIOVANNI SUL MURO, 9",Milano,20121,Lombardia,,,,,631130,21/09/2020,,Attiva,S.R.L.
5022.,TRASARTI HOLDING SRL,IT02480320445,02480320445,FM0280450,02480320445,"VIA SS. CROCIFISSO, SNC.",Fermo,63816,Marche,VIA SANTISSIMO CROCIFISSO SNC,Fermo,63816,MARCHE,642000,02/03/2022,,Attiva,S.R.L.
5023.,STELLA R.E. S.R.L.,IT11764350960,11764350960,MI2623398,11764350960,"CSO ITALIA, 22",Milano,20122,Lombardia,,,,,682001,05/05/2021,,Attiva,S.R.L.
5024.,GLBS S.R.L.,IT04428900981,04428900981,BS0614090,04428900981,"VIA FLERO, 28",Brescia,25125,Lombardia,VIA FLERO 28,Brescia,25125,LOMBARDIA,642000,07/12/2022,,Attiva,S.R.L.
5025.,EXCALIBUR S.R.L.,IT04418640167,04418640167,BG0461566,04418640167,"VIA AMILCARE PONCHIELLI, 51",Bergamo,24125,Lombardia,,,,,642000,09/12/2019,,Attiva,S.R.L.
5026.,SUN BERSERKER S.R.L.,IT15407241007,15407241007,RM1588410,15407241007,"VIA 20 SETTEMBRE, 1",Roma,00187,Lazio,VIA COLA DI RIENZO 28,Roma,00192,LAZIO,701000,06/09/2019,,Attiva,S.R.L.
5027.,PUNCH POWERTRAIN PSA E-TRANSMISSIONS ASSEMBLY ITALY S.R.L.,IT12709540012,12709540012,TO1310290,12709540012,"CSO ENRICO TAZZOLI, 75",Torino,10135,Piemonte,,,,,293209,31/05/2022,,Attiva,S.R.L.
5028.,MILLENNIUM FALCON S.P.A.,IT06912130488,06912130488,FI0665699,06912130488,"PZA DELLA STAZIONE, 2",Firenze,50123,Toscana,PIAZZALE DONATELLO 4,Firenze,50132,TOSCANA,642000,12/03/2019,,Attiva,S.P.A.
5029.,FLORENCE REAL ESTATE DEVELOPMENTS S.P.A.,IT06956920489,06956920489,FI0669026,06956920489,"VLE BELFIORE, 26",Firenze,50144,Toscana,VIA JACOPO DA DIACCETO 48,Firenze,50123,TOSCANA,682001,12/09/2019,,Attiva,S.P.A.
5030.,NEVERQUIT S.R.L.,IT02679230025,02679230025,BI0204984,02679230025,"VIA PER MUZZANO, 37",Biella,13897,Piemonte,VIA PER MUZZANO 37,Biella,13897,PIEMONTE,701000,09/01/2019,,Attiva,S.R.L.
5031.,PROJECT VIALE MONZA S.R.L.,IT11262820969,11262820969,MI2590561,11262820969,"VIA FILIPPO TURATI, 32",Milano,20121,Lombardia,,,,,681000,14/05/2020,,Attiva,S.R.L.
5032.,MELIG S.R.L.,IT04580250407,04580250407,RN0423515,04580250407,"VIA CORIANO, 58",Rimini,47924,Emilia-Romagna,VIA CORIANO 58,Rimini,47924,EMILIA-ROMAGNA,642000,22/07/2021,,Attiva,S.R.L.
5033.,FINKERAMOS S.P.A.,IT10524390969,10524390969,MI2538042,10524390969,"VIA BORGONUOVO, 14",Milano,20121,Lombardia,VIA BORGONUOVO 14,Milano,20121,LOMBARDIA,642000,29/10/2018,,Attiva,S.P.A.
5034.,HLM S.R.L.,IT01483400113,01483400113,SP0213840,01483400113,"VIA PRIVATA ENEL, SNC",La Spezia,19126,Liguria,VIA PRIVATA ENEL SNC,La Spezia,19126,LIGURIA,642000,10/12/2018,,Attiva,S.R.L.
5035.,CENTRO SCOLASTICO ELSA MORANTE S.R.L.,IT09720791210,09720791210,NA1052396,09720791210,"VIA FERROVIA DELLO STATO, 136",Napoli,80044,Campania,VIA FERROVIA DELLO STATO 136,Napoli,80044,CAMPANIA,855920,03/03/2021,,Attiva,S.R.L.
5036.,RESIDENZA LORETO S.R.L.,IT11906580961,11906580961,MI2630125,11906580961,"VIA UBERTO VISCONTI DI MODRONE, 18",Milano,20122,Lombardia,,,,,412000,14/07/2021,,Attiva,S.R.L.
5037.,B HOLDING S.R.L.,IT10849970966,10849970966,MI2561766,10849970966,VIA CRISTOFORO COLOMBO RESIDENZA PO,Milano,20080,Lombardia,VIA CRISTOFORO COLOMBO SNC,Milano,20079,LOMBARDIA,642000,31/05/2019,,Attiva,S.R.L.
5038.,FOREST 1914 S.R.L.,IT10253350960,10253350960,MI2516900,10253350960," S.S. 11 PADANA SUPERIORE, 16",Milano,20063,Lombardia,,,,,701000,28/02/2018,,Attiva,S.R.L.
5039.,PROJECT X S.R.L.,IT01375070321,01375070321,TS0209795,01375070321,"VIA SAN LAZZARO, 4/1",Trieste,34122,Friuli-Venezia Giulia,,,,,351100,23/02/2022,,Attiva,S.R.L.
5040.,KILOMETRO VERDE SOCIETA' AGRICOLA PER AZIONI,IT04267900985,04267900985,BS0601492,04267900985," MECCANICA, 8",Brescia,25028,Lombardia,STRADA PER OFFLAGA 28,Brescia,25025,LOMBARDIA,011321,19/03/2021,,Attiva,S.P.A.
5041.,MOZZAFIATO S.R.L.,IT14756281003,14756281003,RM1543597,14756281003,"VIA DEL MONTE OPPIO, 5",Roma,00184,Lazio,VIA DEL MONTE OPPIO 5,Roma,00184,LAZIO,108505,09/04/2018,,Attiva,S.R.L.
5042.,AGRIHOLDING S.R.L.,IT09926221210,09926221210,NA1069110,09926221210," DIREZIONALE, 2",Napoli,80143,Campania,CENTRO DIREZIONALE ISOLA E 2,Napoli,80143,CAMPANIA,701000,30/12/2021,,Attiva,S.R.L.
5043.,MARCO GUIDI S.R.L.,IT02596600466,02596600466,LU0238029,02596600466,"VIA DEL BRENNERO, 1996",Lucca,55100,Toscana,VIA DEL BRENNERO 1996,Lucca,55100,TOSCANA,702209,16/03/2021,,Attiva,S.R.L.
5044.,GREGORIO CHIORINO S.R.L.,IT02687740023,02687740023,BI0205665,02687740023,"STR SANT'AGATA, 9",Biella,13900,Piemonte,STRADA SANT'AGATA 9,Biella,13900,PIEMONTE,642000,05/04/2019,,Attiva,S.R.L.
5045.,BIOMET AMBIENTE S.R.L.,IT10542950968,10542950968,LO2590628,10542950968,CNA BERGHENTE,Lodi,26865,Lombardia,VIALE DANTE ALIGHIERI 67,Pavia,27011,LOMBARDIA,382109,13/11/2018,,Attiva,S.R.L.
5046.,DEMETRA S.R.L.,IT11861110010,11861110010,TO1246357,11861110010,"VIA ANTONIO GIUSEPPE BERTOLA, 28",Torino,10122,Piemonte,,,,,642000,07/02/2018,,Attiva,S.R.L.
5047.,GROUPER'S LAIR S.R.L.,IT10326330965,10326330965,MI2522708,10326330965,"PZA DELLA REPUBBLICA, 32",Milano,20124,Lombardia,PIAZZA DELLA REPUBBLICA 32,Milano,20124,LOMBARDIA,682001,18/04/2018,,Attiva,S.R.L.
5048.,GRAND HOTEL SOLE - SOCIETA' A RESPONSABILITA' LIMITATA,IT15145511000,15145511000,RM1570855,15145511000,"VIA RANUCCIO BIANCHI BANDINELLI, 13",Roma,00178,Lazio,VIA RANUCCIO BIANCHI BANDINELLI 130,Roma,00178,LAZIO,551000,18/02/2019,,Attiva,S.R.L.
5049.,EMCH S.R.L.,IT03999000361,03999000361,MO0434943,03999000361,"VIA ELPIDIO BERTOLI, 148",Modena,41125,Emilia-Romagna,,,,,721909,23/11/2021,,Attiva,S.R.L.
5050.,BIO ON S.P.A.,IT12758630011,12758630011,TO1313947,12758630011,"CSO DUCA DEGLI ABRUZZI, 5",Torino,10128,Piemonte,CORSO DUCA DEGLI ABRUZZI 5,Torino,10128,PIEMONTE,201600,03/10/2022,,Attiva,S.P.A.
5051.,MAMA S.R.L.,IT10583400964,10583400964,MI2544365,10583400964,"CSO ITALIA, 22",Milano,20122,Lombardia,CORSO ITALIA 22,Milano,20122,LOMBARDIA,642000,21/12/2018,,Attiva,S.R.L.
5052.,PARCO SOLARE FRIULANO 4 SRL,IT03011540303,03011540303,BZ0238448,03011540303,"CSO ITALIA, 27",Bolzano/Bozen,39100,Trentino-Alto Adige/Südtirol,,,,,351100,09/10/2020,,Attiva,S.R.L.
5053.,NARVAL INVESTIMENTI S.P.A. O BREVEMENTE NARVAL S.P.A.,IT12517320011,12517320011,TO1295888,12517320011,"PZA SOLFERINO, 11",Torino,10121,Piemonte,PIAZZA SOLFERINO 11,Torino,10121,PIEMONTE,642000,15/06/2021,,Attiva,S.P.A.
5054.,SALICORNIA S.R.L.,IT12218110968,12218110968,MI2647130,12218110968,"VIA ALESSANDRO MANZONI, 38",Milano,20121,Lombardia,,,,,681000,25/01/2022,,Attiva,S.R.L.
5055.,INCAB GROUP S.R.L.,IT10794540962,10794540962,MI2644313,10794540962,"VIA TIZIANO, 32",Milano,20145,Lombardia,FORO BUONAPARTE 67,Milano,20121,LOMBARDIA,701000,17/04/2019,,Attiva,S.R.L.
5056.,GC CONSULTING SOCIETA' A RESPONSABILITA' LIMITATA,IT16323521001,16323521001,RM1649771,16323521001,"VIA LORENZO MAGALOTTI, 15",Roma,00197,Lazio,,,,,774000,15/09/2021,,Attiva,S.R.L.
5057.,212 INVESTMENTS SRL,IT02826930352,02826930352,RE0317048,02826930352,"VIA MEUCCIO RUINI, 10",Reggio nell'Emilia,42124,Emilia-Romagna,,,,,701000,18/12/2018,,Attiva,S.R.L.
5058.,STE.SA - INVEST S.R.L.,IT03790390540,03790390540,PG0351598,03790390540,"VIA GUGLIELMO OBERDAN, 103",Perugia,06034,Umbria,VIA GUGLIELMO OBERDAN 103,Perugia,06034,UMBRIA,642000,30/04/2021,,Attiva,S.R.L.
5059.,SODALIS INVESTMENTS S.R.L.,IT10437660961,10437660961,MI2531340,10437660961,"VIA SOLFERINO, 7",Milano,20121,Lombardia,VIA SOLFERINO 7,Milano,20121,LOMBARDIA,701000,25/07/2018,,Attiva,S.R.L.
5060.,LAMMANO SRL,IT03145020214,03145020214,BZ0235925,03145020214,"VIA BRENNERO, 32",Bolzano/Bozen,39042,Trentino-Alto Adige/Südtirol,,,,,631130,30/12/2021,,Attiva,S.R.L.
5061.,MATUS TAPES S.P.A.,IT04378000980,04378000980,BS0609928,04378000980,"VIA LEONARDO DA VINCI, 20",Brescia,25128,Lombardia,VIA LEONARDO DA VINCI 20,Brescia,25122,LOMBARDIA,701000,13/04/2022,,Attiva,S.P.A.
5062.,SVILUPPO IMMOBILIARE MATTIODA S.R.L.,IT11899380015,11899380015,TO1249171,11899380015,VIA ANTONIO GIUSEPPE IGNAZIO BERTOL,Torino,10121,Piemonte,,,,,412000,04/04/2018,,Attiva,S.R.L.
5063.,"PLANET FARMS HOLDING S.P.A. SOCIETA' BENEFIT, IN FORMA ABBREVIATA PLANET FARMS HOLDING S.P.A. SB",IT10275050960,10275050960,MI2518566,10275050960,"VIA CAPPUCCIO, 12",Milano,20123,Lombardia,VIA CAPPUCCIO 12,Milano,20123,LOMBARDIA,642000,08/03/2018,,Attiva,S.P.A.
5064.,CENTRO ITALIANO PER L'ALZHEIMER S.R.L.,IT12322970018,12322970018,TO1281253,12322970018,"VIA TERRACINI, 4",Torino,10093,Piemonte,,,,,682001,26/06/2020,,Attiva,S.R.L.
5065.,G.R. HOLDING SRL,IT12142470967,12142470967,MI2643704,12142470967,"VIA DANTE ALIGHIERI, 4",Milano,20090,Lombardia,VIA DANTE ALIGHIERI 4,Milano,20090,LOMBARDIA,642000,21/12/2021,,Attiva,S.R.L.
5066.,ZINGERLE FAMILIENHOLDING S.R.L.,IT02998660217,02998660217,BZ0223266,02998660217," ZONA PRODUTTIVA FOERCHE, 7",Bolzano/Bozen,39040,Trentino-Alto Adige/Südtirol,ZONA PRODUTTIVA FOERCHE 7,Bolzano/Bozen,39040,TRENTINO-ALTO,701000,18/05/2018,,Attiva,S.R.L.
5067.,ORCHIDEA BLU SOL S.R.L.,IT10416010964,10416010964,MI2529632,10416010964,"VIA BERNINA, 7",Milano,20158,Lombardia,,,,,351100,03/07/2018,,Attiva,S.R.L.
5068.,ABES S.R.L.,IT10576720964,10576720964,MI2542786,10576720964,"CSO DI PORTA NUOVA, 34",Milano,20121,Lombardia,,,,,642000,13/12/2018,,Attiva,S.R.L.
5069.,VODAFONE AUTOMOTIVE TELEMATICS S.R.L.,IT03823440122,03823440122,VA0381585,03823440122,"VIA ASTICO, 41",Varese,21100,Lombardia,VIA ASTICO 41,Varese,21100,LOMBARDIA,829999,19/03/2021,,Attiva,S.R.L.
5070.,PO 86 HOLDING S.R.L.,IT04098441209,04098441209,BO0568683,04098441209,"VIA SANTO STEFANO, 23",Bologna,40125,Emilia-Romagna,,,,,701000,08/02/2023,,Attiva,S.R.L.
5071.,FELICITA' S.R.L.,IT04486400163,04486400163,BG0466665,04486400163,"VIA LEONARDO DA VINCI, 12/14",Bergamo,24060,Lombardia,VIA LEONARDO DA VINCI 12/14,Bergamo,24060,LOMBARDIA,681000,03/12/2020,,Attiva,S.R.L.
5072.,MAJESTIC INVESTMENTS SOCIETA' PER AZIONI,IT05289260266,05289260266,RM1671693,05289260266," NAVI, 19",Roma,00196,Lazio,VIA VITTORIO VENETO 48/50,Roma,00187,LAZIO,681000,09/12/2021,,Attiva,S.P.A.
5073.,NUOVA HOLDING CORTI 1 S.P.A.,IT03736080122,03736080122,MI2714044,03736080122,"CSO VENEZIA, 61",Milano,20121,Lombardia,,,,,642000,23/09/2019,,Attiva,S.P.A.
5074.,C.R.M. HOLDING SRL,IT03032890307,03032890307,UD0360121,03032890307,"VIA PALMADA, 15",Udine,33050,Friuli-Venezia Giulia,VIA PALMADA 15,Udine,33050,FRIULI-VENEZIA,701000,16/04/2021,,Attiva,S.R.L.
5075.,MB-INVESTIMENTI SRL,IT03029570300,03029570300,UD0359736,03029570300,"VIA TRENTO TRIESTE, 63",Udine,33038,Friuli-Venezia Giulia,VIA ANTONIO ANDREUZZI 7,Udine,33038,FRIULI-VENEZIA,701000,19/03/2021,,Attiva,S.R.L.
5076.,VDC MXP21 S.R.L.,IT11352050964,11352050964,MI2596661,11352050964,"VLO SAN GIOVANNI SUL MURO, 9",Milano,20121,Lombardia,,,,,631130,27/07/2020,,Attiva,S.R.L.
